"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
"276",0,0.32400265367312,0.124,0.051,0,Health,GABARAP
"277",0,0.322652814085825,0.101,0.019,0,Health,MARC2
"278",0,0.322152510126414,0.319,0.187,0,Health,VDAC1
"279",0,0.321317608253302,0.166,0.075,0,Health,NDUFS1
"280",0,0.32126925161677,0.131,0.042,0,Health,PXMP2
"281",0,0.319826750744455,0.217,0.111,0,Health,SEPHS2
"282",0,0.318574261919223,0.133,0.045,0,Health,NFIA
"283",0,0.316114568887689,0.347,0.199,0,Health,MPC2
"284",0,0.316052903551622,0.137,0.049,0,Health,GNG12
"285",0,0.314243933257457,0.354,0.212,0,Health,APLP2
"286",0,0.313582667027185,0.176,0.073,0,Health,AIG1
"287",0,0.312972226282974,0.155,0.06,0,Health,TSPAN1
"288",0,0.310458747173074,0.109,0.034,0,Health,HPGD
"289",0,0.310446159204087,0.257,0.13,0,Health,TCEAL4
"290",0,0.310034600030069,0.146,0.053,0,Health,PPP2CB
"291",0,0.309489743960881,0.352,0.207,0,Health,BRI3
"292",0,0.308998391313998,0.137,0.048,0,Health,ARHGEF12
"293",0,0.306280610650985,0.181,0.084,0,Health,ACOT13
"294",0,0.305917868255584,0.182,0.087,0,Health,HDLBP
"295",0,0.305912482923887,0.12,0.041,0,Health,PLS3
"296",0,0.305791936382639,0.165,0.078,0,Health,FBXO21
"297",0,0.305485897145331,0.337,0.203,0,Health,ROMO1
"298",0,0.305051059001355,0.1,0.024,0,Health,ACOT7
"299",0,0.304556621852648,0.109,0.031,0,Health,CLDN10
"300",0,0.304209781917455,0.122,0.042,0,Health,TCEA3
"301",0,0.303044800134262,0.303,0.168,0,Health,PRDX3
"302",0,0.301997619870578,0.13,0.042,0,Health,MACROD1
"303",0,0.301599203332171,0.156,0.061,0,Health,CCND1
"304",0,0.300973058941874,0.803,0.678,0,Health,ITM2B
"305",0,0.300748347201604,0.139,0.05,0,Health,WASL
"306",0,0.300557135212674,0.291,0.173,0,Health,COX20
"307",0,0.297621705062881,0.241,0.141,0,Health,GADD45A
"308",0,0.297194721839954,0.143,0.058,0,Health,EPS8
"309",0,0.296953194080831,0.137,0.051,0,Health,BNIP3
"310",0,0.296380963015923,0.105,0.035,0,Health,KCNJ16
"311",0,0.291918217556383,0.143,0.067,0,Health,CDH16
"312",0,0.290219654382431,0.379,0.234,0,Health,GHITM
"313",0,0.29021478211322,0.166,0.086,0,Health,KRT8
"314",0,0.290204983747305,0.1,0.025,0,Health,SLC37A4
"315",0,0.289227721354211,0.111,0.037,0,Health,AHCY
"316",0,0.288659328232724,0.192,0.098,0,Health,HIPK2
"317",0,0.288353987911135,0.12,0.036,0,Health,NCKAP1
"318",0,0.287677605177278,0.149,0.057,0,Health,HMGCL
"319",0,0.287306360213934,0.134,0.055,0,Health,COL18A1
"320",0,0.285279906848029,0.133,0.044,0,Health,GAMT
"321",0,0.282512813100923,0.373,0.224,0,Health,SCP2
"322",0,0.282080523406551,0.154,0.063,0,Health,MYO6
"323",0,0.281719583195422,0.211,0.113,0,Health,SUCLG2
"324",0,0.280123716858314,0.187,0.078,0,Health,PTGR1
"325",0,0.278988249513942,0.441,0.292,0,Health,ATP5B
"326",0,0.278842194015145,0.106,0.039,0,Health,ACOX1
"327",0,0.278695161565322,0.105,0.039,0,Health,PARD6B
"328",0,0.27803968417865,0.177,0.083,0,Health,ACO2
"329",0,0.277590554379446,0.114,0.037,0,Health,OSBPL1A
"330",0,0.277005617498246,0.157,0.068,0,Health,HNMT
"331",0,0.273966911643457,0.113,0.038,0,Health,ECHDC3
"332",0,0.272805344177263,0.226,0.126,0,Health,NARS
"333",0,0.272229565215842,0.102,0.039,0,Health,ERRFI1
"334",0,0.271386171143702,0.13,0.045,0,Health,FOLR1
"335",0,0.271357015839253,0.168,0.075,0,Health,CRYZ
"336",0,0.269128567788154,0.169,0.077,0,Health,ARHGAP24
"337",0,0.268996328478934,0.109,0.028,0,Health,EPHX1
"338",0,0.268880043408648,0.189,0.089,0,Health,FBXL5
"339",0,0.268009659069214,0.272,0.148,0,Health,DNPH1
"340",0,0.267629963235821,0.168,0.082,0,Health,EIF4EBP2
"341",0,0.266225771690497,0.112,0.044,0,Health,GNPDA1
"342",0,0.263718994019335,0.231,0.107,0,Health,PLA2G16
"343",0,0.263179332090012,0.1,0.031,0,Health,C14orf105
"344",0,0.261684691525222,0.131,0.046,0,Health,PKIG
"345",0,0.259857109745759,0.949,0.905,0,Health,FTL
"346",0,0.259852323823305,0.11,0.038,0,Health,AP1M2
"347",0,0.256720969255922,0.117,0.038,0,Health,WWTR1
"348",0,0.252509147402062,0.237,0.139,0,Health,LINC00657
"349",0,0.250390350150998,0.16,0.07,0,Health,NIT2
"350",0,0.249492597359282,0.142,0.061,0,Health,TSPAN3
"351",0,0.249281586800956,0.543,0.381,0,Health,GPX4
"352",0,0.248715816453815,0.167,0.073,0,Health,CETN2
"353",0,0.24809273547859,0.177,0.081,0,Health,ECHDC2
"354",0,0.247721555867987,0.131,0.057,0,Health,EFHD1
"355",0,0.246139507434941,0.184,0.09,0,Health,CTSL
"356",0,0.246063293397466,0.227,0.124,0,Health,NDUFS2
"357",0,0.244585174601158,0.135,0.061,0,Health,IVD
"358",0,0.243215387506869,0.227,0.121,0,Health,GLRX5
"359",0,0.24043845049189,0.135,0.053,0,Health,FUOM
"360",0,0.237889514492079,0.191,0.096,0,Health,MOCS2
"361",0,0.237486939572694,0.377,0.238,0,Health,PRDX6
"362",0,0.237192581130917,0.375,0.235,0,Health,NDUFA2
"363",0,0.236866304327499,0.216,0.123,0,Health,GABARAPL1
"364",0,0.236587324903943,0.178,0.089,0,Health,NCOA4
"365",0,0.233665292540974,0.363,0.218,0,Health,DYNLRB1
"366",0,0.233355270489155,0.11,0.036,0,Health,RBPMS
"367",0,0.233188731578351,0.156,0.068,0,Health,GPR56
"368",0,0.232537526445696,0.245,0.138,0,Health,HADHB
"369",0,0.232074942565867,0.127,0.054,0,Health,MICU1
"370",0,0.231936715548416,0.279,0.172,0,Health,MPC1
"371",0,0.231821376585414,0.167,0.074,0,Health,LYPLAL1
"372",0,0.230795232903591,0.433,0.278,0,Health,YWHAE
