"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Zbtb20",3535,1.84481766620103e-263,-1.0035571201914,0.307,0.354,4.29252174571655e-259,"AKI","ZBTB20"
"Zbtb20",52,0,1.63772135367067,0.472,0.267,0,"Health","ZBTB20"
"Zbtb20",5885,0,-1.23078133984859,0.155,0.361,0,"CKD","ZBTB20"
"4833439L19Rik",4497,3.33620226589276e-76,-0.587833479782306,0.227,0.284,7.76267543227927e-72,"Recovery","KIAA1191"
"4833439L19Rik",3419,0,-1.15606317783155,0.201,0.328,0,"AKI","KIAA1191"
"4833439L19Rik",5855,0,-1.04139270891899,0.112,0.3,0,"CKD","KIAA1191"
"4833439L19Rik",53,0,1.6206511343381,0.45,0.189,0,"Health","KIAA1191"
"Kcnj15",5806,0,-0.885177398487566,0.025,0.138,0,"CKD","KCNJ15"
"Kcnj15",3422,0,-1.16426249180394,0.025,0.19,0,"AKI","KCNJ15"
"Kcnj15",4310,5.06437392570178e-141,-0.686236918392397,0.065,0.133,1.17837852503229e-136,"Recovery","KCNJ15"
"Kcnj15",54,0,1.61930948028409,0.304,0.033,0,"Health","KCNJ15"
"Tmem52b",5909,0,-1.351405907212,0.06,0.221,0,"CKD","TMEM52B"
"Tmem52b",3445,0,-1.41020063030044,0.127,0.251,0,"AKI","TMEM52B"
"Tmem52b",55,0,1.61262448394613,0.308,0.148,0,"Health","TMEM52B"
"Fxyd2",3426,0,-1.17022019188435,0.742,0.797,0,"AKI","FXYD2"
"Fxyd2",5949,0,-2.16028842789171,0.342,0.837,0,"CKD","FXYD2"
"Fxyd2",57,0,1.59495425144739,0.951,0.687,0,"Health","FXYD2"
"Cox6a1",5853,0,-1.03280152462593,0.588,0.713,0,"CKD","COX6A1"
"Cox6a1",3431,0,-1.23090378438483,0.634,0.74,0,"AKI","COX6A1"
"Cox6a1",4758,7.64809778072912e-33,-0.377381087777741,0.673,0.701,1.77955939162005e-28,"Recovery","COX6A1"
"Cox6a1",58,0,1.59371409040548,0.824,0.633,0,"Health","COX6A1"
"Sfrp1",59,0,1.58514654812373,0.214,0.095,0,"Health","SFRP1"
"Sfrp1",5873,0,-1.15101555403097,0.032,0.149,0,"CKD","SFRP1"
"Sfrp1",3441,0,-1.36265147141785,0.082,0.171,0,"AKI","SFRP1"
"Cox6c",3411,0,-1.10685286115208,0.791,0.849,0,"AKI","COX6C"
"Cox6c",5904,0,-1.32559084903457,0.67,0.848,0,"CKD","COX6C"
"Cox6c",4501,9.40465872526623e-76,-0.411311424756668,0.812,0.827,2.18827599219495e-71,"Recovery","COX6C"
"Cox6c",60,0,1.58358364320247,0.931,0.772,0,"Health","COX6C"
"Igfbp4",61,0,1.58273519157839,0.424,0.124,0,"Health","IGFBP4"
"Igfbp4",5835,0,-0.97020724545633,0.09,0.243,0,"CKD","IGFBP4"
"Igfbp4",3427,0,-1.21506140556325,0.114,0.298,0,"AKI","IGFBP4"
"Igfbp4",4651,1.10721175105093e-48,-0.419900295698574,0.184,0.23,2.5762603023453e-44,"Recovery","IGFBP4"
"Cyb5a",63,0,1.5769344899361,0.644,0.436,0,"Health","CYB5A"
"Cyb5a",5897,0,-1.29810798009606,0.31,0.533,0,"CKD","CYB5A"
"Cyb5a",3435,0,-1.316382767726,0.442,0.548,0,"AKI","CYB5A"
"Ndufa3",3409,0,-1.08930023881872,0.498,0.582,0,"AKI","NDUFA3"
"Ndufa3",4163,0,-0.884071072823627,0.407,0.57,0,"Recovery","NDUFA3"
"Ndufa3",6628,1.56221149856205e-164,-0.712745649515767,0.491,0.556,3.63495371485419e-160,"CKD","NDUFA3"
"Ndufa3",64,0,1.57517134843936,0.688,0.478,0,"Health","NDUFA3"
"Slc22a12",65,0,1.5717030129292,0.276,0.036,0,"Health","SLC22A12"
"Slc22a12",4729,9.87367039498901e-37,-0.446061388135703,0.089,0.12,2.29740562750604e-32,"Recovery","SLC22A12"
"Slc22a12",3428,0,-1.21652757823858,0.022,0.18,0,"AKI","SLC22A12"
"Slc22a12",5993,2.45423543496593e-296,-0.888230255395036,0.025,0.129,5.71051501007873e-292,"CKD","SLC22A12"
"Ndufv3",5819,0,-0.926329590491722,0.318,0.471,0,"CKD","NDUFV3"
"Ndufv3",67,0,1.56778058787474,0.61,0.373,0,"Health","NDUFV3"
"Ndufv3",3423,0,-1.16800591820755,0.382,0.5,0,"AKI","NDUFV3"
"Ndufv3",4468,2.35615453983698e-83,-0.502055648852253,0.398,0.461,5.48230038329269e-79,"Recovery","NDUFV3"
"Calml4",3418,0,-1.14785239059058,0.084,0.25,0,"AKI","CALML4"
"Calml4",4702,8.16438668310592e-41,-0.418235320443804,0.148,0.188,1.89968949342508e-36,"Recovery","CALML4"
"Calml4",5857,0,-1.06171325267798,0.05,0.202,0,"CKD","CALML4"
"Calml4",68,0,1.55605561483167,0.366,0.091,0,"Health","CALML4"
"Tmem256",69,0,1.526411158782,0.517,0.307,0,"Health","TMEM256-PLSCR3"
