"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HIBCH",0,0.276272354136066,0.35,0.273,0
"STK17B",0,-0.449423867729081,0.069,0.13,0
"ANKRD44",0,-0.785850863030317,0.128,0.223,0
"HSPD1",0,0.282027961579336,0.369,0.281,0
"PLCL1",0,0.661918676678043,0.465,0.361,0
"RAPH1",0,-0.388544182131233,0.1,0.157,0
"PTH2R",0,0.414469059063451,0.473,0.432,0
"ARPC2",0,-0.382171646653982,0.294,0.338,0
"AP1S3",0,-0.554411626006379,0.058,0.108,0
"DOCK10",0,-0.517032146808345,0.063,0.117,0
"EFHD1",0,0.365397269237313,0.258,0.169,0
"LRRFIP1",0,-0.42718911516505,0.376,0.441,0
"SLC4A7",0,-0.398451673018492,0.119,0.172,0
"RBMS3",0,-1.02589033839354,0.173,0.259,0
"OSBPL10",0,-0.4661144873929,0.216,0.284,0
"FBXL2",0,-0.401372951551316,0.09,0.146,0
"GOLGA4",0,0.344820765327233,0.531,0.477,0
"ACAA1",0,0.394009305143762,0.179,0.103,0
"PTH1R",0,0.686544038849978,0.445,0.286,0
"MST1",0,0.467429573526258,0.139,0.067,0
"CHDH",0,0.28969791589911,0.144,0.088,0
"CACNA2D3",0,0.493555434677735,0.231,0.184,0
"FOXP1",0,-0.332107886472388,0.43,0.49,0
"MTRNR2L12",0,2.01510480503433,0.445,0.254,0
"NFKBIZ",0,-0.364625089599951,0.116,0.19,0
"CBLB",0,-0.38658462299947,0.214,0.263,0
"CD47",0,-0.403072825784912,0.108,0.167,0
"ZBTB20",0,-0.400340841033712,0.554,0.61,0
"LSAMP",0,-0.570751493301394,0.082,0.133,0
"HGD",0,0.279476336511636,0.167,0.105,0
"GOLGB1",0,0.517183831335625,0.458,0.384,0
"CASR",0,0.566366557069705,0.184,0.121,0
"KALRN",0,-0.637989397261412,0.103,0.184,0
"ALDH1L1",0,0.525129108179006,0.263,0.153,0
"RASA2",0,-0.518832803155339,0.142,0.227,0
"PLSCR1",0,-0.348811359820184,0.115,0.16,0
"MBNL1",0,-0.541894083727395,0.389,0.445,0
"VEPH1",0,0.329567261557615,0.148,0.086,0
"TNIK",0,-0.575446267721365,0.114,0.196,0
"FNDC3B",0,-0.624456275870142,0.365,0.444,0
"NLGN1",0,-0.360815083135209,0.26,0.311,0
"EHHADH",0,0.545245721547113,0.254,0.142,0
"KNG1",0,0.846478443842533,0.227,0.077,0
"ST6GAL1",0,-0.477164859709515,0.201,0.269,0
"LPP",0,-0.590766277267142,0.484,0.534,0
"HES1",0,0.615123479686264,0.202,0.101,0
"MUC20",0,0.294950860093589,0.126,0.076,0
"ATP5I",0,0.429771915252804,0.307,0.196,0
"FGFR3",0,0.290509103680899,0.111,0.068,0
"PROM1",0,-0.473773071075546,0.063,0.119,0
"TAPT1-AS1",0,0.48007559908213,0.274,0.196,0
"QDPR",0,0.298676650002982,0.114,0.055,0
"KCNIP4",0,-1.24947340943066,0.293,0.4,0
"SEL1L3",0,-0.387182441996632,0.053,0.104,0
"ARAP2",0,-0.320527492592688,0.121,0.171,0
"OCIAD2",0,0.307624237400002,0.193,0.131,0
"CHIC2",0,-0.306686459092579,0.121,0.166,0
"UGT2B7",0,0.715352479342412,0.328,0.245,0
"SLC4A4",0,0.633976783454772,0.372,0.247,0
"AGPAT9",0,0.589227361704185,0.277,0.145,0
"CCSER1",0,0.401291112206434,0.455,0.412,0
"PDLIM5",0,-0.57677986467799,0.248,0.304,0
"PPP3CA",0,-0.45901084154676,0.234,0.297,0
"NFKB1",0,-0.376353310143456,0.123,0.171,0
"BDH2",0,0.47584446370649,0.182,0.094,0
"ARHGEF38",0,-0.411767973051899,0.098,0.143,0
"HADH",0,0.31072199659518,0.152,0.084,0
"EGF",0,1.3390898653003,0.311,0.109,0
"ANK2",0,0.535746557138042,0.31,0.192,0
"CAMK2D",0,-0.5028758422601,0.149,0.219,0
"NDUFC1",0,0.453841352900168,0.222,0.122,0
"FBXW7",0,-0.316482974969116,0.191,0.243,0
