"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Wwp1",734,0,0.200745057309427,0.352,0.224,0,"CKD","WWP1"
"Pnrc1",105,0,-0.20247239123448,0.143,0.253,0,"Health","PNRC1"
"Pnrc1",733,0,0.20247239123448,0.253,0.143,0,"CKD","PNRC1"
"Gimap4",106,0,-0.202689060616375,0.039,0.121,0,"Health","GIMAP4"
"Gimap4",732,0,0.202689060616375,0.121,0.039,0,"CKD","GIMAP4"
"Mrps33",731,0,0.204445316305162,0.354,0.221,0,"CKD","MRPS33"
"Mrps33",107,0,-0.204445316305162,0.221,0.354,0,"Health","MRPS33"
"Idi1",730,0,0.204990821812793,0.156,0.047,0,"CKD","IDI1"
"Idi1",108,0,-0.204990821812793,0.047,0.156,0,"Health","IDI1"
"Me1",729,0,0.205276349638303,0.381,0.245,0,"CKD","ME1"
"Me1",109,0,-0.205276349638303,0.245,0.381,0,"Health","ME1"
"Ccnd2",110,0,-0.206218497620123,0.03,0.11,0,"Health","CCND2"
"Ccnd2",728,0,0.206218497620123,0.11,0.03,0,"CKD","CCND2"
"Cyp4a10",726,0,0.206728999793166,0.248,0.129,0,"CKD","CYP4F12"
"Cyp4a10",112,0,-0.206728999793166,0.129,0.248,0,"Health","CYP4F12"
"Gpc3",724,0,0.207128647153289,0.126,0.024,0,"CKD","GPC3"
"Gpc3",114,0,-0.207128647153289,0.024,0.126,0,"Health","GPC3"
"Lcp1",723,0,0.207244177967651,0.124,0.029,0,"CKD","LCP1"
"Lcp1",115,0,-0.207244177967651,0.029,0.124,0,"Health","LCP1"
"Ets1",116,0,-0.207875296744559,0.022,0.105,0,"Health","ETS1"
"Ets1",722,0,0.207875296744559,0.105,0.022,0,"CKD","ETS1"
"Ankrd11",117,0,-0.20806207000115,0.155,0.275,0,"Health","ANKRD11"
"Ankrd11",721,0,0.20806207000115,0.275,0.155,0,"CKD","ANKRD11"
"Slc22a28",720,0,0.208589346993504,0.281,0.161,0,"CKD","SLC22A9"
"Slc22a28",118,0,-0.208589346993504,0.161,0.281,0,"Health","SLC22A9"
"Gimap1",719,0,0.208980716556731,0.135,0.044,0,"CKD","GIMAP1"
"Gimap1",119,0,-0.208980716556731,0.044,0.135,0,"Health","GIMAP1"
"Fgf1",120,0,-0.209427642576684,0.061,0.174,0,"Health","FGF1"
"Fgf1",718,0,0.209427642576684,0.174,0.061,0,"CKD","FGF1"
"Cdc42se1",121,0,-0.210321984798698,0.116,0.24,0,"Health","CDC42SE1"
"Cdc42se1",717,0,0.210321984798698,0.24,0.116,0,"CKD","CDC42SE1"
"Klf2",122,0,-0.21132163896243,0.046,0.134,0,"Health","KLF2"
"Klf2",716,0,0.21132163896243,0.134,0.046,0,"CKD","KLF2"
"2200002D01Rik",123,0,-0.212309561566177,0.046,0.16,0,"Health","C19orf33"
"2200002D01Rik",715,0,0.212309561566177,0.16,0.046,0,"CKD","C19orf33"
"Rpl14",713,0,0.213471454597946,0.93,0.8,0,"CKD","RPL14"
"Rpl14",125,0,-0.213471454597946,0.8,0.93,0,"Health","RPL14"
"Cd53",126,0,-0.213552474768657,0.027,0.121,0,"Health","CD53"
"Cd53",712,0,0.213552474768657,0.121,0.027,0,"CKD","CD53"
"Camk2n1",711,0,0.213754836275517,0.465,0.33,0,"CKD","CAMK2N1"
"Camk2n1",127,0,-0.213754836275517,0.33,0.465,0,"Health","CAMK2N1"
"Cyb5a",709,0,0.214480404695981,0.806,0.685,0,"CKD","CYB5A"
"Cyb5a",129,0,-0.214480404695981,0.685,0.806,0,"Health","CYB5A"
"Cnn2",130,0,-0.21543229826814,0.028,0.121,0,"Health","CNN2"
"Cnn2",708,0,0.21543229826814,0.121,0.028,0,"CKD","CNN2"
"Rpl31",707,0,0.215659705314749,0.924,0.788,0,"CKD","RPL31"
"Rpl31",131,0,-0.215659705314749,0.788,0.924,0,"Health","RPL31"
"Plac8",706,0,0.216047763887821,0.154,0.069,0,"CKD","PLAC8"
"Plac8",132,0,-0.216047763887821,0.069,0.154,0,"Health","PLAC8"
"Tmem176a",135,0,-0.217290523931404,0.39,0.53,0,"Health","TMEM176A"
"Tmem176a",703,0,0.217290523931404,0.53,0.39,0,"CKD","TMEM176A"
"Abracl",702,0,0.217420939302572,0.351,0.214,0,"CKD","ABRACL"
"Abracl",136,0,-0.217420939302572,0.214,0.351,0,"Health","ABRACL"
"Cks2",701,0,0.217717312603335,0.309,0.174,0,"CKD","CKS2"
"Cks2",137,0,-0.217717312603335,0.174,0.309,0,"Health","CKS2"
"Hnrnpa3",138,0,-0.21925060639274,0.204,0.34,0,"Health","HNRNPA3"
"Hnrnpa3",700,0,0.21925060639274,0.34,0.204,0,"CKD","HNRNPA3"
"Ybx1",699,0,0.219424514294876,0.869,0.719,0,"CKD","YBX1"
"Ybx1",139,0,-0.219424514294876,0.719,0.869,0,"Health","YBX1"
"Rps26",697,0,0.220163405031354,0.877,0.725,0,"CKD","RPS26"
"Rps26",141,0,-0.220163405031354,0.725,0.877,0,"Health","RPS26"
"Ttr",696,0,0.220730965573761,0.172,0.071,0,"CKD","TTR"
"Ttr",142,0,-0.220730965573761,0.071,0.172,0,"Health","TTR"
"Chpt1",143,0,-0.221416740650789,0.658,0.756,0,"Health","CHPT1"
"Chpt1",695,0,0.221416740650789,0.756,0.658,0,"CKD","CHPT1"
"Smlr1",694,0,0.222349006143548,0.201,0.074,0,"CKD","SMLR1"
"Smlr1",144,0,-0.222349006143548,0.074,0.201,0,"Health","SMLR1"
"Zbtb20",145,0,-0.222557545738678,0.531,0.617,0,"Health","ZBTB20"
"Zbtb20",693,0,0.222557545738678,0.617,0.531,0,"CKD","ZBTB20"
"Mien1",146,0,-0.223094980095448,0.372,0.53,0,"Health","MIEN1"
"Mien1",692,0,0.223094980095448,0.53,0.372,0,"CKD","MIEN1"
"Fgfr1op2",691,0,0.223097171846254,0.285,0.152,0,"CKD","FGFR1OP2"
