"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Slc12a1",92,0,0.574922119665548,0.161,0.163,0,"Health","SLC12A1"
"Stxbp5l",93,0,0.567073987657459,0.117,0.076,0,"Health","STXBP5L"
"Stxbp5l",884,5.36857928040317e-232,-0.446431172680262,0.065,0.1,1.45665661615179e-227,"AKI","STXBP5L"
"Arhgap42",94,0,0.557231036260272,0.313,0.284,0,"Health","ARHGAP42"
"Arhgap42",1332,4.72133956413046e-238,-0.275073564377896,0.285,0.293,1.28104106393552e-233,"CKD","ARHGAP42"
"Acsm2",1242,0,0.685935594133324,0.176,0.095,0,"CKD","ACSM2A"
"Acsm2",780,0,-1.19166225615129,0.071,0.164,0,"AKI","ACSM2A"
"Acsm2",95,0,0.548394704571231,0.145,0.118,0,"Health","ACSM2A"
"Greb1l",665,0,-0.490433085297561,0.157,0.205,0,"AKI","GREB1L"
"Greb1l",96,0,0.534307705984227,0.23,0.172,0,"Health","GREB1L"
"Pde4d",658,0,-0.40967633931914,0.417,0.459,0,"AKI","PDE4D"
"Pde4d",97,0,0.530676516866719,0.447,0.439,0,"Health","PDE4D"
"Vwa8",674,0,-0.554408966800713,0.123,0.177,0,"AKI","VWA8"
"Vwa8",98,0,0.525756602768614,0.19,0.143,0,"Health","VWA8"
"Trabd2b",99,0,0.511153381003535,0.323,0.285,0,"Health","TRABD2B"
"Trabd2b",735,0,-0.855983513417497,0.234,0.339,0,"AKI","TRABD2B"
"Trabd2b",1318,1.58767081291199e-252,0.442431363486058,0.349,0.262,4.30782721667409e-248,"CKD","TRABD2B"
"Slc47a1",1590,1.07798535561086e-58,0.232437896886884,0.169,0.135,2.92489766537896e-54,"CKD","SLC47A1"
"Slc47a1",101,0,0.478827453537886,0.168,0.141,0,"Health","SLC47A1"
"Slc47a1",684,0,-0.595207577604711,0.119,0.169,0,"AKI","SLC47A1"
"Ndel1",983,9.51773805699738e-160,-0.313569756539544,0.152,0.181,2.5824478670051e-155,"AKI","NDEL1"
"Ndel1",102,0,0.470671859415061,0.194,0.161,0,"Health","NDEL1"
"Nfia",725,0,-0.77722640000953,0.226,0.311,0,"AKI","NFIA"
"Nfia",103,0,0.466350301689014,0.295,0.268,0,"Health","NFIA"
"Nfia",1335,2.9786520294741e-232,0.409856942582081,0.321,0.248,8.08197655157208e-228,"CKD","NFIA"
"Glyat",1103,1.00646421893187e-94,-0.341820254011132,0.097,0.128,2.73083936522785e-90,"AKI","GLYAT"
"Glyat",106,0,0.429771705917154,0.125,0.112,0,"Health","GLYAT"
"Dab2",662,0,-0.444788316295561,0.248,0.28,0,"AKI","DAB2"
"Dab2",107,0,0.422993984090145,0.29,0.26,0,"Health","DAB2"
"Bcas3",708,0,-0.701624618595896,0.232,0.323,0,"AKI","BCAS3"
"Bcas3",1338,3.02442068633925e-228,0.389838738293697,0.338,0.253,8.20616064824429e-224,"CKD","BCAS3"
"Bcas3",108,0,0.406841970386256,0.297,0.279,0,"Health","BCAS3"
"Osbpl9",1443,5.72182959943254e-118,0.30091162771601,0.239,0.183,1.55250402521403e-113,"CKD","OSBPL9"
"Osbpl9",686,0,-0.598410096374269,0.167,0.231,0,"AKI","OSBPL9"
"Osbpl9",109,0,0.398901376787667,0.218,0.199,0,"Health","OSBPL9"
