"gene","X","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Rpl38",6169,4.63e-74,-0.300086168,0.752,0.811,1.08e-69,"IRI_long_3",-0.059,"RPL38"
"Herpud1",8121,1.06e-100,-0.259649759,0.243,0.302,2.47e-96,"IRI_long_14",-0.059,"HERPUD1"
"Herpud1",4448,3.63e-276,-0.402309943,0.223,0.305,8.44e-272,"IRI_long_1",-0.082,"HERPUD1"
"Herpud1",2466,0,-0.389030806,0.264,0.301,0,"IRI_short_1",-0.037,"HERPUD1"
"Herpud1",550,0,0.413250245,0.322,0.281,0,"Control",0.041,"HERPUD1"
"Osbpl6",551,0,0.413088365,0.131,0.051,0,"Control",0.08,"OSBPL6"
"Evc",552,0,0.412269577,0.122,0.04,0,"Control",0.082,"EVC"
"Ethe1",7877,1.64e-192,-0.347671387,0.124,0.204,3.82e-188,"IRI_long_14",-0.08,"ETHE1"
"Ethe1",554,0,0.411946326,0.211,0.186,0,"Control",0.025,"ETHE1"
"Klf15",555,0,0.411199599,0.129,0.03,0,"Control",0.099,"KLF15"
"Ptprd",556,0,0.411121965,0.124,0.04,0,"Control",0.084,"PTPRD"
"Esrra",8142,2.29e-91,-0.206533808,0.086,0.131,5.33e-87,"IRI_long_14",-0.045,"ESRRA"
"Esrra",6251,9.83e-62,-0.222448994,0.08,0.128,2.29e-57,"IRI_long_3",-0.048,"ESRRA"
"Esrra",4898,2.35e-126,-0.22809942,0.077,0.132,5.48e-122,"IRI_long_1",-0.055,"ESRRA"
"Esrra",557,0,0.410756991,0.172,0.102,0,"Control",0.07,"ESRRA"
"Esrra",2714,4.39e-222,-0.206902077,0.111,0.128,1.02e-217,"IRI_short_1",-0.017,"ESRRA"
"Lap3",2660,0,-0.245327695,0.169,0.174,6e-307,"IRI_short_1",-0.005,"LAP3"
"Lap3",4768,6.44e-162,-0.274603917,0.135,0.178,1.5e-157,"IRI_long_1",-0.043,"LAP3"
"Lap3",7906,1.2e-181,-0.318221366,0.1,0.183,2.79e-177,"IRI_long_14",-0.083,"LAP3"
"Lap3",558,0,0.410043559,0.21,0.154,0,"Control",0.056,"LAP3"
"Ndufv2",559,0,0.409941277,0.414,0.418,0,"Control",-0.004,"NDUFV2"
"Ndufv2",4152,0,-0.415937975,0.361,0.425,0,"IRI_long_1",-0.064,"NDUFV2"
"Ndufv2",3593,4.2e-248,0.282716599,0.518,0.401,9.78e-244,"IRI_short_14",0.117,"NDUFV2"
"Ndufv2",2327,0,-0.254538673,0.469,0.407,0,"IRI_short_1",0.062,"NDUFV2"
"Ndufv2",5876,4.07e-119,-0.333212991,0.376,0.419,9.46e-115,"IRI_long_3",-0.043,"NDUFV2"
"Ndufv2",7149,0,-0.502869242,0.299,0.434,0,"IRI_long_14",-0.135,"NDUFV2"
"Fam13a",560,0,0.409620032,0.113,0.038,0,"Control",0.075,"FAM13A"
"Coq9",561,0,0.409616611,0.203,0.133,0,"Control",0.07,"COQ9"
"Coq9",2297,0,-0.231923487,0.15,0.158,0,"IRI_short_1",-0.008,"COQ9"
"Coq9",7772,7.43e-218,-0.303023447,0.077,0.168,1.73e-213,"IRI_long_14",-0.091,"COQ9"
"Coq9",6119,9.31e-82,-0.267601409,0.095,0.161,2.17e-77,"IRI_long_3",-0.066,"COQ9"
"Coq9",4551,4.85e-228,-0.308906175,0.096,0.165,1.13e-223,"IRI_long_1",-0.069,"COQ9"
"Zfp706",8031,4.33e-143,-0.29767444,0.378,0.438,1.01e-138,"IRI_long_14",-0.06,"ZNF706"
"Zfp706",562,0,0.409497415,0.42,0.436,0,"Control",-0.016,"ZNF706"
"Zfp706",2272,0,-0.212684841,0.481,0.421,0,"IRI_short_1",0.06,"ZNF706"
