"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Malrd1",1369,8.1607534716049e-114,-0.590447639635635,0.108,0.149,2.21425723945056e-109,"CKD","MALRD1"
"Malrd1",92,3.75787425313139e-242,-0.665579273789321,0.073,0.151,1.01962402110214e-237,"Health","MALRD1"
"Malrd1",601,0,0.891463199379876,0.185,0.095,0,"AKI","MALRD1"
"Trps1",1267,8.4957929744919e-260,0.351070178854051,0.32,0.232,2.30516350776889e-255,"CKD","TRPS1"
"Trps1",93,5.31281918013641e-239,1.0827464615828,0.304,0.252,1.44152722814641e-234,"Health","TRPS1"
"Trps1",695,0,-1.37496276557016,0.198,0.314,0,"AKI","TRPS1"
"Il7",627,0,0.594353744342295,0.213,0.127,0,"AKI","IL7"
"Il7",94,1.01194702741996e-234,-0.653436309783572,0.099,0.182,2.74571586949857e-230,"Health","IL7"
"Il7",1538,1.94270213181728e-51,-0.241340285596351,0.144,0.176,5.27113369425983e-47,"CKD","IL7"
"Klf12",95,2.73388333580298e-234,0.649557466579434,0.19,0.118,7.41784565503422e-230,"Health","KLF12"
"Klf12",862,2.65198484349387e-150,-0.485516408799925,0.106,0.154,7.19563047585191e-146,"AKI","KLF12"
"Slc5a12",96,7.79432110591534e-232,0.918630155178603,0.194,0.122,2.11483314566801e-227,"Health","SLC5A12"
"Slc5a12",874,7.588214201317e-138,-0.543732977490964,0.111,0.158,2.05891015924334e-133,"AKI","SLC5A12"
"Nav2",626,0,0.614493729235315,0.188,0.111,0,"AKI","NAV2"
"Nav2",97,2.50812897642391e-231,-0.726324919377225,0.082,0.161,6.805306351731e-227,"Health","NAV2"
"Nav2",1591,1.80706685362827e-35,-0.22326666588485,0.128,0.154,4.90311449394958e-31,"CKD","NAV2"
"Acsm1",685,0,-1.09225673048417,0.143,0.253,0,"AKI","ACSM1"
"Acsm1",1314,1.01138559969793e-174,0.499354377290199,0.244,0.183,2.7441925476604e-170,"CKD","ACSM1"
"Acsm1",98,7.87535332280937e-230,0.678745476653949,0.267,0.188,2.13681961707787e-225,"Health","ACSM1"
"Slc22a28",700,0,-1.49941214731303,0.038,0.152,0,"AKI","SLC22A9"
"Slc22a28",99,1.4680080166979e-229,0.784510324964183,0.151,0.089,3.9831461517064e-225,"Health","SLC22A9"
"Slc22a28",1227,0,0.710880453597052,0.153,0.074,0,"CKD","SLC22A9"
"Abca13",100,1.53681577769898e-229,0.958410721905008,0.153,0.089,4.16984224963065e-225,"Health","ABCA13"
"Abca13",1276,2.92055557484545e-235,0.697905607503408,0.14,0.082,7.92434344122817e-231,"CKD","ABCA13"
"Abca13",703,0,-1.71457310115843,0.048,0.145,0,"AKI","ABCA13"
"Itgav",1414,4.94086284330093e-90,-0.503579560794873,0.135,0.175,1.34060431527284e-85,"CKD","ITGAV"
"Itgav",589,0,1.00312777041028,0.21,0.122,0,"AKI","ITGAV"
"Itgav",101,3.20545470013785e-227,-1.05706171066829,0.101,0.177,8.69736023788403e-223,"Health","ITGAV"
"Dhtkd1",102,1.15891912259196e-226,0.65888934738387,0.111,0.058,3.14449525532877e-222,"Health","DHTKD1"
"Enpp2",103,1.94276482898655e-225,0.922657163779061,0.211,0.144,5.27130381048922e-221,"Health","ENPP2"
"Enpp2",793,1.25626697711171e-182,-0.652253187749422,0.128,0.182,3.40862918899721e-178,"AKI","ENPP2"
"Pik3c2g",1433,1.05973645984282e-82,-0.325725247030442,0.09,0.126,2.87538293649151e-78,"CKD","PIK3C2G"
"Pik3c2g",104,3.04263286242768e-225,0.714546823212615,0.165,0.1,8.25557574562503e-221,"Health","PIK3C2G"
"Pik3c2g",1185,4.97626671253683e-15,-0.264320555719313,0.108,0.118,1.35021044711262e-10,"AKI","PIK3C2G"
"B3gat2",743,1.80627950515615e-245,-0.658108605700632,0.103,0.163,4.90097818134018e-241,"AKI","B3GAT2"
"B3gat2",105,3.0297955648955e-221,0.664779028688623,0.191,0.122,8.22074430623097e-217,"Health","B3GAT2"
"Adtrp",106,2.76254537421488e-220,0.689845800099005,0.124,0.068,7.49561436385723e-216,"Health","ADTRP"
"Fhit",1238,0,0.422329513115065,0.451,0.333,0,"CKD","FHIT"
"Fhit",659,0,-0.912314672047358,0.294,0.438,0,"AKI","FHIT"
"Fhit",107,4.24753335264289e-220,0.593741310392583,0.415,0.363,1.1524832245726e-215,"Health","FHIT"
"Kl",108,1.10945871083125e-216,0.723113355631793,0.106,0.054,3.01029432009844e-212,"Health","KL"
"Sh3rf1",109,1.52706910885278e-216,-0.527254094113991,0.22,0.319,4.14339661305026e-212,"Health","SH3RF1"
"Sh3rf1",965,2.53313255535164e-85,0.269457769625864,0.323,0.278,6.8731485624356e-81,"AKI","SH3RF1"
"Pvr",110,1.96052462833051e-210,-0.779271675913556,0.062,0.129,5.31949147404916e-206,"Health","PVR"
"Pvr",1354,2.43460978269886e-126,-0.488426073024731,0.087,0.13,6.60582672339681e-122,"CKD","PVR"
"Pvr",605,0,0.864803622563529,0.163,0.078,0,"AKI","PVR"
"Nfat5",1558,1.11539962699799e-46,0.320565007797392,0.201,0.17,3.02641380793365e-42,"CKD","NFAT5"
"Nfat5",111,8.04115594990798e-209,-0.55738604856046,0.114,0.199,2.18180684388853e-204,"Health","NFAT5"
"Slc3a1",112,6.45691403617425e-207,0.543795096270509,0.115,0.061,1.75195448543516e-202,"Health","SLC3A1"
"Cystm1",113,1.00223680006322e-201,-0.541970894350698,0.065,0.136,2.71936910961154e-197,"Health","CYSTM1"
"Cystm1",1109,7.24795779767877e-36,0.295971289393552,0.132,0.112,1.96658838924418e-31,"AKI","CYSTM1"
"Phyhipl",872,4.18756667225541e-139,-0.477906979683278,0.093,0.137,1.13621246518306e-134,"AKI","PHYHIPL"
"Phyhipl",114,2.78077324545771e-201,0.780491709275416,0.164,0.105,7.54507204690041e-197,"Health","PHYHIPL"
"Agbl4",1564,4.22879316494028e-44,0.229651325047436,0.125,0.1,1.14739844944325e-39,"CKD","AGBL4"
"Agbl4",115,9.53242430319914e-194,0.647228483234569,0.155,0.096,2.58643268618702e-189,"Health","AGBL4"
"Agbl4",641,0,-0.746553772313152,0.074,0.136,0,"AKI","AGBL4"
"Cd2ap",629,0,0.590788273497558,0.129,0.062,0,"AKI","CD2AP"
"Cd2ap",117,2.87361732291007e-193,-0.610776667665697,0.045,0.104,7.7969858822519e-189,"Health","CD2AP"
"Cd2ap",1485,2.65152098440987e-67,-0.262197700749281,0.072,0.102,7.1943718869993e-63,"CKD","CD2AP"
"Nedd4l",1395,5.34008144377991e-98,0.234289310096989,0.464,0.407,1.4489242981408e-93,"CKD","NEDD4L"
"Nedd4l",118,2.13115728700732e-192,-0.362639510236054,0.337,0.451,5.78246906683697e-188,"Health","NEDD4L"
"Nnt",120,5.4769793043079e-190,0.74257731971661,0.135,0.081,1.48606879463786e-185,"Health","NNT"
"Nnt",854,5.94489895804962e-154,-0.706135340415058,0.07,0.11,1.6130294342876e-149,"AKI","NNT"
"Ptprj",121,4.62701142625981e-189,-0.466751105370239,0.194,0.285,1.25544701028707e-184,"Health","PTPRJ"
"Ptprj",815,4.63029333275499e-172,0.320700610617279,0.306,0.235,1.25633748997641e-167,"AKI","PTPRJ"
"Zfp697",715,1.38502591184965e-292,-0.753191665356448,0.117,0.184,3.75799080662166e-288,"AKI","ZNF697"
"Zfp697",122,3.08258721464307e-188,0.672496337603591,0.204,0.142,8.36398388949104e-184,"Health","ZNF697"
"Zfp697",1578,7.5609051540942e-39,0.213461661664038,0.173,0.145,2.05150039546038e-34,"CKD","ZNF697"
"Etl4",1430,1.78479327491979e-83,0.449420134163774,0.249,0.208,4.84267959283988e-79,"CKD","KIAA1217"
"Etl4",123,1.27384991369335e-187,-0.477670717960298,0.154,0.24,3.45633697082416e-183,"Health","KIAA1217"
"Pakap",124,1.66732979323398e-187,-0.605999849148624,0.171,0.258,4.52396592798175e-183,"Health","PALM2AKAP2"
"Pakap",1288,1.29957394009287e-215,-0.675605235191,0.194,0.264,3.52613397165397e-211,"CKD","PALM2AKAP2"
"Pakap",595,0,0.927998471310987,0.309,0.185,0,"AKI","PALM2AKAP2"
"Erc2",1533,1.88399801374579e-52,0.244629374289687,0.173,0.142,5.11185181069644e-48,"CKD","ERC2"
"Erc2",125,2.27967320267238e-178,0.601870268947278,0.202,0.139,6.18543730081097e-174,"Health","ERC2"
"Erc2",638,0,-0.719879149398445,0.113,0.184,0,"AKI","ERC2"
"Slc12a6",126,2.05615589298454e-175,0.659713492163869,0.155,0.099,5.57896778443496e-171,"Health","SLC12A6"
"Slc12a6",827,8.81320806361405e-167,-0.594979099373259,0.086,0.131,2.3912877439004e-162,"AKI","SLC12A6"
"Pde4d",764,2.45466685138597e-216,-0.40967633931914,0.417,0.459,6.66024756786555e-212,"AKI","PDE4D"
"Pde4d",127,9.44123665973982e-175,0.530676516866719,0.447,0.439,2.56169074288721e-170,"Health","PDE4D"
"Camta1",128,1.26438264232646e-174,0.686970321226182,0.141,0.087,3.43064942342439e-170,"Health","CAMTA1"
"Camta1",898,5.12183636109277e-124,-0.522288797349634,0.078,0.115,1.3897078598553e-119,"AKI","CAMTA1"
