"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
"192",0,0.628428893801797,0.535,0.313,0,Control,LRRC37A3,0.222
"193",0,0.627855320558852,0.154,0.087,0,Control,SORCS1,0.067
"194",0,0.625346477606514,0.107,0.013,0,Control,HNF4A-AS1,0.094
"195",0,0.623615564088822,0.469,0.302,0,Control,SLC16A12,0.167
"196",0,0.62122402560757,0.153,0.084,0,Control,PPM1E,0.069
"197",0,0.619280342462861,0.121,0.003,0,Control,LINC02499,0.118
"198",0,0.618646381149752,0.377,0.22,0,Control,LIN52,0.157
"199",0,0.617471074123027,0.242,0.094,0,Control,SLC25A48,0.148
"200",0,0.617339008714148,0.26,0.102,0,Control,CLCNKB,0.158
"201",0,0.615773154622309,0.463,0.401,0,Control,CADM1,0.062
"202",0,0.615150957486411,0.421,0.266,0,Control,PPM1L,0.155
"203",0,0.614735400127026,0.412,0.242,0,Control,GHR,0.17
"204",0,0.613845665748102,0.771,0.702,0,Control,COBLL1,0.0690000000000001
"205",0,0.61229364475226,0.241,0.097,0,Control,WNK4,0.144
"206",0,0.609913663449157,0.238,0.087,0,Control,FGF9,0.151
"207",0,0.605593370681651,0.282,0.111,0,Control,FN3K,0.171
"208",0,0.605123408323771,0.251,0.094,0,Control,ADAMTS16,0.157
"209",0,0.602382952816518,0.356,0.253,0,Control,INPP4B,0.103
"210",0,0.602151770922545,0.865,0.786,0,Control,FHIT,0.079
"211",0,0.601714288034486,0.572,0.403,0,Control,NINL,0.169
"212",0,0.599706022010903,0.397,0.281,0,Control,LINC01762,0.116
"213",0,0.598645724984966,0.387,0.286,0,Control,SIM1,0.101
"214",0,0.595325514946486,0.546,0.354,0,Control,TLN2,0.192
"215",0,0.595129525649786,0.127,0.029,0,Control,DGKB,0.098
"216",0,0.594483964430573,0.468,0.333,0,Control,EPB41L3,0.135
"217",0,0.593129039533858,0.586,0.397,0,Control,CCDC198,0.189
"218",0,0.591829552274047,0.271,0.224,0,Control,LINC01606,0.047
"219",0,0.591505691766528,0.233,0.124,0,Control,GLIS1,0.109
"220",0,0.590237243737827,0.342,0.15,0,Control,CFAP70,0.192
"221",0,0.589628535226144,0.474,0.345,0,Control,CNTN4,0.129
"222",0,0.586299246007986,0.189,0.084,0,Control,AC004485.1,0.105
"223",0,0.584396431704732,0.68,0.533,0,Control,KCNJ16,0.147
"224",0,0.582019796967332,0.733,0.588,0,Control,C20orf194,0.145
"225",0,0.58070298100175,0.2,0.096,0,Control,AL110292.1,0.104
"226",0,0.580215262067591,0.214,0.118,0,Control,LINC01060,0.096
"227",0,0.579906407814237,0.706,0.576,0,Control,CPEB4,0.13
"228",0,0.579087349355776,0.327,0.305,0,Control,AC058822.1,0.022
"229",0,0.579069762172266,0.242,0.084,0,Control,SFXN2,0.158
"230",0,0.578125339436966,0.149,0.064,0,Control,SYN3,0.085
"231",0,0.577674118486027,0.273,0.134,0,Control,MIR646HG,0.139
"232",0,0.577530546900954,0.544,0.421,0,Control,MAP3K13,0.123
"233",0,0.576783645995485,0.231,0.093,0,Control,ASPA,0.138
"234",0,0.576370392092539,0.352,0.264,0,Control,AC138305.1,0.088
"235",0,0.575285037389472,0.421,0.227,0,Control,ZMAT1,0.194
"236",0,0.573093041226489,0.457,0.251,0,Control,NFYC,0.206
"237",0,0.573027227695084,0.592,0.402,0,Control,SNRNP70,0.19
"238",0,0.572975231168094,0.684,0.587,0,Control,INSR,0.0970000000000001
"239",0,0.572211618317984,0.602,0.386,0,Control,TNRC18,0.216
"240",0,0.570960290674521,0.18,0.068,0,Control,IGSF11,0.112
"241",0,0.570291804310834,0.708,0.548,0,Control,VWA8,0.16
"242",0,0.570271928984499,0.661,0.525,0,Control,MACROD2,0.136
"243",0,0.570087504367954,0.737,0.66,0,Control,ARHGAP6,0.077
"244",0,0.570010382701214,0.427,0.262,0,Control,KIAA0825,0.165
"245",0,0.569751494878846,0.15,0.054,0,Control,SLC5A2,0.096
"246",0,0.567249235504916,0.41,0.237,0,Control,TMEM232,0.173
"247",0,0.567131692800635,0.503,0.288,0,Control,NAIP,0.215
"248",0,0.566945847153475,0.457,0.334,0,Control,AGBL4,0.123
"249",0,0.566447692422954,0.453,0.446,0,Control,BNC2,0.00700000000000001
"250",0,0.565854062042058,0.486,0.311,0,Control,CCDC30,0.175
"251",0,0.565548581938728,0.14,0.069,0,Control,LTBP1,0.071
"252",0,0.561757937581693,0.33,0.218,0,Control,GLDC,0.112
"253",0,0.561056842006556,0.514,0.331,0,Control,SULT1C2,0.183
"254",0,0.560310318733325,0.628,0.449,0,Control,KLF12,0.179
"255",0,0.559040128543195,0.803,0.721,0,Control,CUX1,0.0820000000000001
"256",0,0.558980130455746,0.278,0.175,0,Control,DENND2A,0.103
"257",0,0.557162781895456,0.711,0.573,0,Control,APBB2,0.138
"258",0,0.556945257142769,0.233,0.066,0,Control,KLKB1,0.167
"259",0,0.556309863610011,0.93,0.837,0,Control,PDE4D,0.0930000000000001
"260",0,0.556061043301559,0.314,0.19,0,Control,KIAA1549,0.124
"261",0,0.553646005194711,0.269,0.138,0,Control,HSD11B2,0.131
"262",0,0.551882094753367,0.528,0.389,0,Control,CRYL1,0.139
"263",0,0.551543607770951,0.362,0.235,0,Control,SLC12A6,0.127
"264",0,0.551520135735627,0.375,0.203,0,Control,SLCO4C1,0.172
"265",0,0.551289343693741,0.544,0.356,0,Control,TOM1L2,0.188
"266",0,0.548172531750025,0.594,0.475,0,Control,CDK14,0.119
