"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Klf2",285,0,0.21132163896243,0.134,0.046,0,"UUO",0.088,"KLF2"
"Cdc42se1",286,0,0.210321984798698,0.24,0.116,0,"UUO",0.124,"CDC42SE1"
"Fgf1",287,0,0.209427642576684,0.174,0.061,0,"UUO",0.113,"FGF1"
"Gimap1",288,0,0.208980716556731,0.135,0.044,0,"UUO",0.091,"GIMAP1"
"Slc22a28",289,0,0.208589346993504,0.281,0.161,0,"UUO",0.12,"SLC22A9"
"Ankrd11",290,0,0.20806207000115,0.275,0.155,0,"UUO",0.12,"ANKRD11"
"Ets1",291,0,0.207875296744559,0.105,0.022,0,"UUO",0.083,"ETS1"
"Lrp2",292,0,0.207575827628221,0.628,0.483,0,"UUO",0.145,"LRP2"
"Lcp1",293,0,0.207244177967651,0.124,0.029,0,"UUO",0.095,"LCP1"
"Gpc3",294,0,0.207128647153289,0.126,0.024,0,"UUO",0.102,"GPC3"
"Cyp4a10",296,0,0.206728999793166,0.248,0.129,0,"UUO",0.119,"CYP4F12"
"Ccnd2",298,0,0.206218497620123,0.11,0.03,0,"UUO",0.08,"CCND2"
"Me1",299,0,0.205276349638303,0.381,0.245,0,"UUO",0.136,"ME1"
"Idi1",300,0,0.204990821812793,0.156,0.047,0,"UUO",0.109,"IDI1"
"Mrps33",301,0,0.204445316305162,0.354,0.221,0,"UUO",0.133,"MRPS33"
"Gimap4",302,0,0.202689060616375,0.121,0.039,0,"UUO",0.082,"GIMAP4"
"Wwp1",304,0,0.200745057309427,0.352,0.224,0,"UUO",0.128,"WWP1"
"Pnrc1",305,1.11253692927029e-308,0.20247239123448,0.253,0.143,1.11253724813434e-308,"UUO",0.11,"PNRC1"
"Camk2n1",307,1.11253693058135e-308,0.213754836275517,0.465,0.33,1.11256230526903e-308,"UUO",0.135,"CAMK2N1"
"Plac8",308,1.11360034247685e-308,0.216047763887821,0.154,0.069,4.06479070453777e-307,"UUO",0.085,"PLAC8"
"Tmem176b",309,3.73800782636492e-304,0.215250419882659,0.564,0.436,7.14408055774864e-300,"UUO",0.128,"TMEM176B"
"Sh3bgrl3",310,8.54430170407033e-261,0.222302358164279,0.312,0.23,1.63298694168192e-256,"UUO",0.082,"SH3BGRL3"
"S100g",311,0,1.47105597878359,0.811,0.169,0,"Control",0.642,"S100G"
"Ftl1",313,0,0.936494186070319,0.972,0.481,0,"Control",0.491,"FTL"
"Klk1",314,0,0.79402895644272,0.324,0.033,0,"Control",0.291,"KLK2"
"Mt1",315,0,0.789039510737743,0.497,0.151,0,"Control",0.346,"MT1G"
"Calb1",318,0,0.705974492963549,0.271,0.02,0,"Control",0.251,"CALB1"
"Dnase1",319,0,0.688986386331033,0.442,0.154,0,"Control",0.288,"DNASE1"
"Tmem52b",320,0,0.661526528601239,0.278,0.038,0,"Control",0.24,"TMEM52B"
"Egf",321,0,0.659100792693448,0.234,0.026,0,"Control",0.208,"EGF"
"Spp1",322,0,0.647541080415068,0.496,0.203,0,"Control",0.293,"SPP1"
"Tmem213",323,0,0.645040598382861,0.286,0.042,0,"Control",0.244,"TMEM213"
"Slc12a3",324,0,0.6261592060722,0.217,0.032,0,"Control",0.185,"SLC12A3"
"Gatm",325,0,0.580222824857685,0.506,0.255,0,"Control",0.251,"GATM"
"Ppp1r1a",326,0,0.563531359193916,0.235,0.035,0,"Control",0.2,"PPP1R1A"
"Umod",327,0,0.539343298293578,0.232,0.06,0,"Control",0.172,"UMOD"
"Atp1a1",328,0,0.492934307645089,0.738,0.571,0,"Control",0.167,"ATP1A1"
"Ldhb",329,0,0.486701686252071,0.66,0.437,0,"Control",0.223,"LDHB"
