,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
299,0,0.600160513,0.28,0.177,0,Control,Mlec,0.103

300,0,0.599481215,0.149,0.019,0,Control,Car14,0.13

301,0,0.599382092,0.253,0.121,0,Control,Usp2,0.132

302,0,0.598678429,0.285,0.187,0,Control,Fabp3,0.098

303,0,0.597980494,0.186,0.067,0,Control,Cisd3,0.119

304,0,0.597477709,0.292,0.169,0,Control,Camk2n1,0.123

305,0,0.593804317,0.25,0.132,0,Control,Myo6,0.118

306,0,0.592819428,0.203,0.066,0,Control,Slc25a10,0.137

307,0,0.591843762,0.748,0.713,0,Control,Cox5a,0.035

308,0,0.591030454,0.253,0.138,0,Control,Dgcr6,0.115

309,0,0.590586398,0.166,0.026,0,Control,Fmo2,0.14

310,0,0.58929735,0.486,0.426,0,Control,Timm13,0.06

311,0,0.58819702,0.73,0.687,0,Control,Rps28,0.043

312,0,0.587596658,0.292,0.172,0,Control,Klf9,0.12

313,0,0.587344541,0.322,0.235,0,Control,Cox20,0.087

314,0,0.586897013,0.159,0.033,0,Control,Ces1d,0.126

315,0,0.586385265,0.223,0.13,0,Control,Acss1,0.093

316,0,0.586238664,0.539,0.491,0,Control,Arl6ip1,0.048

317,0,0.586099427,0.555,0.496,0,Control,Ndufb10,0.059

318,0,0.585561898,0.775,0.729,0,Control,Cox5b,0.046

319,0,0.584448212,0.257,0.14,0,Control,Msra,0.117

320,0,0.583475628,0.674,0.64,0,Control,Uqcrb,0.034

321,0,0.583026642,0.291,0.215,0,Control,Lrpap1,0.076

322,0,0.582842714,0.305,0.175,0,Control,Csrp2,0.13

323,0,0.582368167,0.16,0.069,0,Control,Slc7a7,0.091

324,0,0.581719828,0.148,0.018,0,Control,Cubn,0.13

325,0,0.581682983,0.195,0.116,0,Control,Wnk4,0.079

326,0,0.579489187,0.833,0.772,0,Control,Prdx5,0.061

327,0,0.579024021,0.155,0.031,0,Control,Slc16a2,0.124

328,0,0.578739732,0.169,0.047,0,Control,Sardh,0.122

329,0,0.578239192,0.141,0.033,0,Control,Cox7a1,0.108

